Judul,GMD,Edisi,ISBN,Penerbit,Tahun Terbit,Deskripsi Fisik,Judul Seri,No. Panggil,Bahasa,Tempat terbit,Klasifikasi,Abstrak/Catatan,Foto,Pernyataan tanggung jawab,Penulis,Subjek,"Exemplar(barcode) 	"
Bunga-bunga gugur di Timor Timur,Text,,,Progres,2003,,,813 NAD b,Indonesia,Jakarta,813,,Default.png,,Nadjib Kartapati Z.,,SMKPGRI1-00..
Kungfu boy legends,Text bergambar,Ed.5,978-979-27-4362-3,Elex Media komputindo,2009,,,741.5592 TAK k,Indonesia,Jakarta,"7,415,592",,Default.png,,Takeshi Maekawa,,SMKPGRI1-289
Legenda malin kundang si anak durhaka,Text bergambar,,,Lingkar Media,,,,398.259.8 ARY l,Indonesia,,398.259.8,,Default.png,,Aryasatya Ikranegara,,SMKPGRI1-99
Kungfu boy legends,Text bergambar,Ed.5,978-979-27-4362-3,Elex Media komputindo,2009,,,741.5592 TAK k,Indonesia,Jakarta,"7,415,592",,Default.png,,Takeshi Maekawa,,SMKPGRI1-290
Berkelana ke Timur Tengah,Text,,978-979-033-838-8,Erlangga,2009,,,813 DED b,Indonesia,Jakarta,813,,Default.png,,Dede Permana Nughraha,,SMKPGRI1-120
"Biar Tua Tapi Bahagia ",Text bergambar,,978-979-19397-8-2,Perpustakan Nasional RI,2012,,,813 ANN b,Indonesia,Jakarta,813,,Default.png,,Anny Djati W,,SMKPGRI-363
"Pocong juga pocong ",Text,,602-220-002-4,Bukune,2011,,,813 ANW p,Indonesia,Jakarta,813,,Default.png,,Anwar Syafrani,,SMKPGRI1-8
"Kidung cinta sejati ",Text,,978-602-1310-18-2,Euthenia,2014,,,813 KIR k,Indonesia,Jakarta Barat,813,,Default.png,,Kirana Kejora,,SMKPGRI-441
Cinta tak melantunkan sesal,Text,,979-655-837-8,Gramedia,2001,,,813 MIR c,Indonesia,Jakarta,813,,Default.png,,Mira W.,,SMKPGRI1-184
"Magic land ",Text bergambar,,978602885142-8,Lingkar Pena Kreativa,2011,,,813 NAB m,Indonesia,Jakarta Selatan,813,,Default.png,,Nabilah Zulinar,,SMKPGRI-418
Forgetting not forgotten,Text,,978-602-04-5315-6,Elex Media komputindo,2018,,,813 WIW f,Indonesia,Jakarta,813,,Default.png,,Wiwi Suyanti,,SMKPGRI1-228
Batas,Text,,978-602-251-314-8,Gramedia,2014,,,813 AGU b,Indonesia,Jakarta,813,,Default.png,,Agustina K. Dewi Iskandar,,SMKPGRI-379
Mencintai saja tidak cukup,Text,,979-780-217-5,Gagas Media,2008,,,813 ARM m,Indonesia,Jakarta,813,,Default.png,,Armaya Junior,,SMKPGRI1-132
Strategi mengusai percakapan bahasa Inggris,Text,Ed.1,978-979-29-4210-1,Andi,2014,,,425 YUS s,Indonesia-Inggris,Yogyakarta,425,,Default.png,,Yusup Priyasudiarja,,SMKPGRI-489
Perbankan,Text bergambar,Ed.1,,Armico,1999,,,332.1 AMS p,Indonesia,Bandung,332.1,,Default.png,,Amsa Barata,,SMKPGRI-964
